mz	intensity	present	rsd	present_flag	rsd_flag	flags
101.796563676	13752.0878906	2	16.1735171179	1	1	1
101.798901001	11519.8359375	1	nan	0	0	0
101.799395297	11925.0751953	1	nan	0	0	0
101.799640208	12707.2333984	2	18.3547956161	1	1	1
101.799973782	12472.0380859	1	nan	0	0	0
101.800763517	13086.1523438	1	nan	0	0	0
101.80185265	13127.1875	2	9.33821297641	1	1	1
102.091323018	14466.5078125	2	5.66991888052	1	1	1
103.038942089	39883.1263021	3	2.11104040848	1	1	1
104.07057881	12966.5986328	1	nan	0	0	0
104.106972109	56354.3606771	3	2.45409708013	1	1	1
105.003256739	11547.5566406	1	nan	0	0	0
105.485374858	10621.4804688	1	nan	0	0	0
105.487902679	11864.4628906	1	nan	0	0	0
106.049842707	18241.7880859	2	1.02079858172	1	1	1
106.950550916	18122.2597656	3	4.91525165398	1	1	1
112.036867869	11001.800293	2	2.72840200558	1	1	1
112.051457832	14149.8134766	3	6.24078674824	1	1	1
112.051845542	32170.0683594	3	11.2335650408	1	1	1
112.052293419	253492.921875	3	2.30590377481	1	1	1
112.052630918	17912.4052734	2	9.49039496294	1	1	1
113.020900717	24401.5605469	3	12.2819306571	1	1	1
113.055657266	13642.0522461	2	2.53775351326	1	1	1
114.05041169	22026.9492188	3	6.88291638702	1	1	1
114.066183275	57346.9869792	3	12.2992643759	1	1	1
115.036569644	21460.3359375	3	9.62517328796	1	1	1
116.070598544	41837.8932292	3	1.98400040584	1	1	1
116.977088605	16420.8710938	2	10.7410705174	1	1	1
118.084969377	10917.0615234	2	3.1333730683	1	1	1
118.085349126	36314.0690104	3	5.52137306783	1	1	1
118.085746373	57489.3020833	3	11.7661923321	1	1	1
118.086247732	654679.625	3	4.92682802946	1	1	1
118.086653325	52826.3652344	2	1.68741571878	1	1	1
119.018943275	19906.9570312	2	11.2921224737	1	1	1
119.089605059	36435.5963542	3	9.58603435102	1	1	1
122.924515996	10574.9244792	3	3.4525516451	1	1	1
123.013835795	30107.7441406	3	20.7172542027	1	0	0
123.055274961	29122.8372396	3	8.1852282943	1	1	1
126.021970648	14048.5341797	1	nan	0	0	0
128.010838332	40654.3450521	3	15.0003622559	1	1	1
128.994850767	48152.6223958	3	2.15999459097	1	1	1
130.049253698	20416.561849	3	9.04715568587	1	1	1
130.04987664	100378.416667	3	0.50800891228	1	1	1
130.086275122	10898.890625	1	nan	0	0	0
131.009840319	27214.3808594	3	11.561297537	1	1	1
131.010513839	93966.6067708	3	5.99305612703	1	1	1
131.018315133	11249.4550781	1	nan	0	0	0
131.018928952	37218.671875	3	8.03111231873	1	1	1
131.053205969	14736.7229818	3	10.9628566027	1	1	1
131.070277138	9758.27636719	1	nan	0	0	0
