mz	intensity	present	rsd	present_flag	rsd_flag	flags
131.351543493	16575.359375	1	nan	0	0	0
131.353028978	15262.7294922	1	nan	0	0	0
131.35337427	11952.9179688	1	nan	0	0	0
131.711083314	15071.6191406	1	nan	0	0	0
131.711406018	12285.7675781	2	6.904060259	1	1	1
131.711814957	11310.7495117	2	2.68485519708	1	1	1
131.712935189	17577.5898438	1	nan	0	0	0
131.713797532	13225.2988281	2	7.04625057946	1	1	1
132.065370414	8237.89746094	1	nan	0	0	0
132.068714783	7812.92480469	1	nan	0	0	0
132.070013217	7824.51611328	1	nan	0	0	0
132.070653378	9076.22070312	1	nan	0	0	0
132.071044918	8426.70019531	1	nan	0	0	0
132.071425987	9228.76627604	3	7.40594559277	1	1	1
132.07179054	8682.12386068	3	2.74188143891	1	1	1
132.072163836	10358.0745443	3	2.52230913386	1	1	1
132.072637487	12001.0651042	3	8.58281687509	1	1	1
132.07306059	13440.7840169	3	4.02400959105	1	1	1
132.073461557	14406.2207031	3	1.7508103864	1	1	1
132.07385225	17235.5839844	3	3.22075178462	1	1	1
132.074188932	17854.9101562	3	10.4703311455	1	1	1
132.074593094	39474.9557292	3	5.38414825302	1	1	1
132.07501769	94877.953125	3	5.05606219285	1	1	1
132.07558378	520996.552083	3	3.32029357083	1	1	1
132.076124661	2325487.41667	3	1.76128343895	1	1	1
132.076666117	22905782.0	3	1.83324164555	1	1	1
132.07718961	2682339.91667	3	1.82192734617	1	1	1
132.078139634	41727.3248698	3	1.6426291569	1	1	1
132.078584163	28712.9231771	3	3.42792375358	1	1	1
132.079007252	24080.4957682	3	1.82352034166	1	1	1
132.079327975	19739.0963542	3	7.81684396099	1	1	1
132.079643898	18738.9614258	3	2.66313194406	1	1	1
132.079961732	16147.4941406	3	12.5145490474	1	1	1
132.080278127	14967.680013	3	1.99984646075	1	1	1
132.08070072	13162.195638	3	0.548230600922	1	1	1
132.081125462	11200.5983073	3	2.09280649659	1	1	1
132.081442423	11185.2610677	3	8.26151793892	1	1	1
132.08175767	10123.8961589	3	4.6497869693	1	1	1
132.082071776	9496.44384766	2	3.843148111	1	1	1
132.082389646	9484.24902344	3	2.2996022536	1	1	1
